*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2017 100   151       0   13057   64166       0   64166   63085  1081.2    0.00  1829.8  8910.5    0.00  8910.5  8884.1   26.41
 2017 101   152       0   13058   64161       0   64161   63088  1073.4    0.00  1829.9  8910.4    0.00  8910.4  8884.3   26.12
 2017 102   153       0   13061   64156       0   64156   63092  1064.4    0.00  1830.1  8910.3    0.00  8910.3  8884.5   25.80
 2017 103   154       0   13063   64150       0   64150   63096  1054.0    0.00  1830.3  8910.3    0.00  8910.3  8884.8   25.43
 2017 104   155       0   13066   64143       0   64143   63101  1042.9    0.00  1830.5  8910.2    0.00  8910.2  8885.1   25.02
 2017 105   156       0   13068   64138       0   64138   63104  1033.5    0.00  1830.6  8910.1    0.00  8910.1  8885.4   24.69
 2017 106   157       0   13071   64132       0   64132   63108  1023.6    0.00  1830.8  8910.0    0.00  8910.0  8885.7   24.33
 2017 107   158       0   13073   64127       0   64127   63112  1015.0    0.00  1831.0  8909.9    0.00  8909.9  8885.9   24.02
 2017 108   159       0   13075   64121       0   64121   63116  1005.6    0.00  1831.1  8909.8    0.00  8909.8  8886.1   23.68
 2017 109   160       0   13078   64114       0   64114   63121   993.7    0.00  1831.3  8909.7    0.00  8909.7  8886.5   23.26
 2017 110   161       0   13081   64106       0   64106   63126   980.0    0.00  1831.5  8909.6    0.00  8909.6  8886.8   22.76
 2017 111   162       0   13085   64096       0   64096   63133   963.7    0.00  1831.8  8909.4    0.00  8909.4  8887.3   22.18
 2017 112   163       0   13088   64089       0   64089   63138   950.8    0.00  1832.0  8909.3    0.00  8909.3  8887.6   21.72
 2017 113   164       0   13091   64082       0   64082   63143   938.7    0.00  1832.2  8909.2    0.00  8909.2  8887.9   21.29
 2017 114   165       0   13094   64075       0   64075   63147   927.4    0.00  1832.4  8909.1    0.00  8909.1  8888.2   20.89
 2017 115   166       0   13097   64068       0   64068   63152   916.4    0.00  1832.6  8909.0    0.00  8909.0  8888.5   20.50
 2017 116   167       0   13099   64062       0   64062   63156   905.6    0.00  1832.8  8908.9    0.00  8908.9  8888.8   20.11
 2017 117   168       0   13102   64055       0   64055   63161   894.2    0.00  1833.0  8908.8    0.00  8908.8  8889.1   19.71
 2017 118   169       0   13105   64048       0   64048   63165   882.4    0.00  1833.2  8908.7    0.00  8908.7  8889.4   19.29
 2017 119   170       0   13107   64043       0   64043   63169   873.8    0.00  1833.3  8908.6    0.00  8908.6  8889.6   18.99
 2017 120   171       0   13109   64038       0   64038   63172   866.1    0.00  1833.4  8908.5    0.00  8908.5  8889.8   18.72
 2017 121   172       0   13111   64033       0   64033   63175   858.5    0.00  1833.6  8908.4    0.00  8908.4  8890.0   18.45
 2017 122   173       0   13112   64030       0   64030   63177   853.1    0.00  1833.6  8908.4    0.00  8908.4  8890.1   18.26
 2017 123   174       0   13113   64027       0   64027   63178   849.0    0.00  1833.7  8908.3    0.00  8908.3  8890.2   18.11
 2017 124   175       0   13114   64025       0   64025   63180   845.4    0.00  1833.7  8908.3    0.00  8908.3  8890.3   17.99
 2017 125   176       0   13115   64023       0   64023   63181   841.6    0.00  1833.8  8908.2    0.00  8908.2  8890.4   17.85
 2017 126   177       0   13116   64020       0   64020   63183   837.4    0.00  1833.9  8908.2    0.00  8908.2  8890.5   17.71
 2017 127   178       0   13117   64017       0   64017   63185   832.3    0.00  1833.9  8908.1    0.00  8908.1  8890.6   17.53
 2017 128   179       0   13118   64014       0   64014   63187   827.9    0.00  1834.0  8908.1    0.00  8908.1  8890.7   17.37
 2017 129   180       0   13119   64011       0   64011   63189   822.8    0.00  1834.1  8908.0    0.00  8908.0  8890.8   17.19
 2017 130   181       0   13121   64008       0   64008   63191   816.6    0.00  1834.2  8907.9    0.00  8907.9  8890.9   16.98
 2017 131   182       0   13122   64004       0   64004   63193   811.5    0.00  1834.2  8907.8    0.00  8907.8  8891.0   16.80
 2017 132   183       0   13123   64001       0   64001   63195   805.7    0.00  1834.3  8907.8    0.00  8907.8  8891.2   16.59
 2017 133   184       0   13125   63998       0   63998   63197   800.4    0.00  1834.4  8907.7    0.00  8907.7  8891.3   16.41
 2017 134   185       0   13126   63994       0   63994   63200   794.1    0.00  1834.5  8907.6    0.00  8907.6  8891.4   16.19
 2017 135   186       0   13128   63989       0   63989   63202   786.5    0.00  1834.6  8907.5    0.00  8907.5  8891.6   15.93
 2017 136   187       0   13130   63983       0   63983   63206   776.9    0.00  1834.7  8907.4    0.00  8907.4  8891.8   15.59
 2017 137   188       0   13132   63976       0   63976   63210   765.9    0.00  1834.9  8907.2    0.00  8907.2  8892.0   15.21
 2017 138   189       0   13135   63968       0   63968   63215   753.1    0.00  1835.1  8907.1    0.00  8907.1  8892.3   14.77
 2017 139   190       0   13139   63959       0   63959   63221   738.7    0.00  1835.3  8906.9    0.00  8906.9  8892.6   14.27
 2017 140   191       0   13143   63949       0   63949   63227   722.4    0.00  1835.5  8906.6    0.00  8906.6  8892.9   13.71
 2017 141   192       0   13146   63939       0   63939   63232   706.8    0.00  1835.7  8906.4    0.00  8906.4  8893.2   13.18
 2017 142   193       0   13149   63933       0   63933   63236   696.9    0.00  1835.8  8906.3    0.00  8906.3  8893.4   12.84
 2017 143   194       0   13150   63929       0   63929   63238   690.7    0.00  1835.9  8906.2    0.00  8906.2  8893.5   12.63
 2017 144   195       0   13151   63925       0   63925   63240   685.2    0.00  1836.0  8906.1    0.00  8906.1  8893.6   12.45
 2017 145   196       0   13153   63922       0   63922   63242   680.3    0.00  1836.1  8906.0    0.00  8906.0  8893.7   12.28
 2017 146   197       0   13153   63920       0   63920   63243   676.4    0.00  1836.1  8905.9    0.00  8905.9  8893.8   12.15
 2017 147   198       0   13154   63916       0   63916   63245   671.6    0.00  1836.2  8905.9    0.00  8905.9  8893.9   11.99
 2017 148   199       0   13156   63913       0   63913   63247   666.1    0.00  1836.2  8905.8    0.00  8905.8  8894.0   11.81
 2017 149   200       0   13157   63910       0   63910   63248   661.5    0.00  1836.3  8905.7    0.00  8905.7  8894.0   11.65
 2017 150   201       0   13158   63906       0   63906   63250   655.9    0.00  1836.4  8905.6    0.00  8905.6  8894.1   11.46
 2017 151   202       0   13159   63902       0   63902   63253   649.2    0.00  1836.4  8905.5    0.00  8905.5  8894.2   11.24
