*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2017 098   149    0.0   12.8   13.9   10.3   20.6   0.59   11.3    0.1    5.6    7.5   -0.7    5.6    7.5  456.4  400.5
 2017 099   150    0.0   12.8   13.9   10.4   20.8   0.59   12.9    2.1    7.4    9.3   -1.7    7.4    9.3  222.8  400.5
 2017 100   151    0.0   12.9   13.9   10.5   21.0   0.59   19.8   11.4   15.5   17.0    6.7   15.5   17.0  627.3  400.5
 2017 101   152    2.3   12.9   14.0   10.6   21.2   0.59   23.1   15.0   19.0   20.4   13.4   19.0   20.4  711.6  400.5
 2017 102   153    2.2   13.0   14.0   10.6   21.2   0.59   21.1    5.5   13.2   15.9   10.6   13.2   15.9  380.1  400.5
 2017 103   154    0.0   13.0   14.1   10.7   21.4   0.59   10.0    1.2    5.5    7.1    3.1    5.5    7.1  217.1  400.5
 2017 104   155    5.9   13.1   14.1   10.8   21.6   0.59   17.1    6.2   11.6   13.5    2.6   11.6   13.5  385.1  400.5
 2017 105   156    0.0   13.1   14.2   10.9   21.8   0.59   16.9    7.1   12.0   13.7    7.6   12.0   13.7  352.9  400.5
 2017 106   157    7.9   13.2   14.2   10.9   21.8   0.59   22.3   12.7   17.5   19.2   13.6   17.5   19.2  431.7  400.5
 2017 107   158   19.5   13.2   14.3   11.0   22.0   0.59   26.1   14.2   20.1   22.2   14.3   20.1   22.2  525.2  400.5
 2017 108   159    0.0   13.3   14.3   11.1   22.2   0.59   20.3    6.6   13.4   15.9    5.9   13.4   15.9  290.8  400.5
 2017 109   160    0.0   13.3   14.4   11.1   22.2   0.59   21.7    5.0   13.3   16.3    4.3   13.3   16.3  233.0  400.5
 2017 110   161    0.0   13.4   14.4   11.2   22.4   0.59   23.4   15.6   19.5   20.9   10.9   19.5   20.9  461.8  400.5
 2017 111   162    3.7   13.4   14.5   11.3   22.6   0.59   18.8    8.1   13.4   15.4   11.2   13.4   15.4  376.0  400.5
 2017 112   163    0.2   13.4   14.5   11.3   22.6   0.59   18.1    4.2   11.1   13.6    6.3   11.1   13.6  575.5  400.5
 2017 113   164    0.0   13.5   14.6   11.4   22.8   0.59   11.4    2.8    7.1    8.7    2.5    7.1    8.7  311.0  400.5
 2017 114   165    0.0   13.5   14.6   11.5   23.0   0.59   16.4    1.1    8.8   11.5   -1.1    8.8   11.5  207.2  400.5
 2017 115   166    0.1   13.6   14.7   11.5   23.0   0.59   21.3    5.6   13.5   16.3    1.4   13.5   16.3  127.1  400.5
 2017 116   167    0.0   13.6   14.7   11.6   23.2   0.59   23.1    9.9   16.5   18.9    2.6   16.5   18.9  383.0  400.5
 2017 117   168    3.6   13.7   14.8   11.7   23.4   0.59   25.5   15.3   20.4   22.3   11.2   20.4   22.3  533.2  400.5
 2017 118   169   11.1   13.7   14.8   11.7   23.4   0.59   20.6    4.7   12.7   15.6   11.1   12.7   15.6  399.5  400.5
 2017 119   170    1.4   13.7   14.9   11.8   23.6   0.59    7.0    2.8    4.9    5.7    2.6    4.9    5.7  334.3  400.5
