*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    
 2017 099   150   475   215     10     22    215     0     0   150    0.00   0.0   0.0   0.00   0.406   0.421   0.420   0.418   0.396   0.274   0.244   0.240
 2017 100   151   470   211     10     25    215     0     0   150    0.00   0.0   0.0   0.00   0.393   0.414   0.414   0.413   0.389   0.272   0.244   0.240
 2017 101   152   470   210     10     25    217     0     0   150    0.00   0.0   0.0   0.00   0.422   0.408   0.409   0.410   0.386   0.273   0.244   0.239
 2017 102   153   469   210     10     25    219     0     0   150    0.00   0.0   0.0   0.00   0.426   0.415   0.405   0.408   0.383   0.274   0.245   0.239
 2017 103   154   465   206     10     27    219     0     0   150    0.00   0.0   0.0   0.00   0.413   0.409   0.400   0.403   0.376   0.272   0.244   0.240
 2017 104   155   469   210     10     27    225     0     0   150    0.00   0.0   0.0   0.02   0.426   0.433   0.407   0.401   0.374   0.273   0.245   0.239
 2017 105   156   465   205     10     29    225     0     0   150    0.00   0.0   0.0   0.00   0.411   0.425   0.401   0.396   0.368   0.271   0.245   0.240
 2017 106   157   470   210     10     29    233     0     0   150    0.00   0.0   0.0   0.14   0.424   0.432   0.429   0.396   0.365   0.272   0.245   0.239
 2017 107   158   485   225     11     29    253     0     0   150    0.00   0.0   0.0   1.75   0.423   0.432   0.430   0.429   0.410   0.281   0.246   0.239
 2017 108   159   479   220     11     31    253     0     0   150    0.00   0.0   0.0   0.00   0.409   0.424   0.424   0.423   0.402   0.279   0.246   0.240
 2017 109   160   474   215     11     34    253     0     0   150    0.00   0.0   0.0   0.00   0.395   0.416   0.417   0.417   0.394   0.277   0.245   0.240
 2017 110   161   469   210     11     37    253     0     0   150    0.00   0.0   0.0   0.00   0.380   0.409   0.411   0.411   0.387   0.275   0.244   0.240
