DAY HR   LAT     LON     DEP       CON
184 10 36.50 -85.55 0.29E-03 3.0E-7    
184 10 36.55 -85.55 0.31E-04 1.0E-8    
184 10 36.60 -85.55 0.76E-05 3.7E-8    
184 10 36.65 -85.55 0.65E-05 2.1E-10    
184 10 36.70 -85.55 0.22E-04 3.5E-10    
184 10 36.75 -85.55 0.80E-07 1.3E-10    
184 10 36.80 -85.55 0.37E-06 7.0E-9    
184 10 36.85 -85.55 0.18E-06 6.5E-11    
184 10 36.90 -85.55 0.13E-07 2.3E-12    
184 10 36.95 -85.55 0.17E-07 5.7E-13    
184 10 37.00 -85.55 0.13E-08 1.2E-11    
184 10 37.05 -85.55 0.39E-13 0.0    
184 10 37.10 -85.55 0.24E-10 1.7E-13    
184 10 35.85 -85.50 0.58E-04 0.0    
184 10 35.90 -85.50 0.23E-04 0.0    
184 10 35.95 -85.50 0.56E-03 0.0    
184 10 36.00 -85.50 0.14E-02 9.9E-6    
184 10 36.05 -85.50 0.37E-03 5.1E-6    
184 10 36.10 -85.50 0.26E-02 8.9E-6    
184 10 36.15 -85.50 0.41E-02 7.8E-6    
184 10 36.20 -85.50 0.55E-02 4.0E-5    
184 10 36.25 -85.50 0.34E-02 1.4E-6    
184 10 36.30 -85.50 0.18E-02 1.6E-5    
184 10 36.35 -85.50 0.47E-03 1.8E-6    
184 10 36.40 -85.50 0.15E-03 8.8E-7    
184 10 36.45 -85.50 0.98E-03 2.5E-6    
184 10 36.50 -85.50 0.19E-04 7.0E-8    
184 10 36.55 -85.50 0.79E-05 7.1E-9    
184 10 36.60 -85.50 0.64E-05 2.7E-9    
184 10 36.65 -85.50 0.37E-05 1.9E-8    
184 10 36.70 -85.50 0.25E-04 3.1E-8    
184 10 36.75 -85.50 0.17E-05 1.3E-8    
184 10 36.80 -85.50 0.94E-07 1.7E-11    
184 10 36.85 -85.50 0.27E-08 2.1E-11    
184 10 36.90 -85.50 0.15E-07 1.7E-12    
184 10 36.95 -85.50 0.15E-07 6.0E-11    
184 10 37.00 -85.50 0.23E-08 2.1E-15    
184 10 37.05 -85.50 0.20E-12 6.4E-16    
184 10 37.10 -85.50 0.51E-14 0.0    
184 10 35.85 -85.45 0.10E-03 0.0    
184 10 35.90 -85.45 0.12E-03 3.4E-7    
184 10 35.95 -85.45 0.34E-04 0.0    
184 10 36.00 -85.45 0.64E-02 8.6E-6    
184 10 36.05 -85.45 0.30E-04 0.0    
184 10 36.10 -85.45 0.23E-03 1.3E-6    
184 10 36.15 -85.45 0.13E-02 1.2E-5    
184 10 36.20 -85.45 0.26E-02 1.5E-5    
184 10 36.25 -85.45 0.14E-02 3.3E-6    
184 10 36.30 -85.45 0.85E-03 2.0E-7    
184 10 36.35 -85.45 0.48E-03 8.4E-7    
184 10 36.40 -85.45 0.15E-03 9.2E-8    
184 10 36.45 -85.45 0.30E-04 5.3E-8    
184 10 36.50 -85.45 0.14E-03 2.4E-8    
